sample,die,channel,pin_cathode,pin_anode,v_die_V,shunt_ohm,verdict,note
3,D3,R,9,10,0.0,<1e2,short,"board 3/4. D1 is the validation channel: 0.085 V implies a ~1.7 kohm shunt, against ~2.9 kohm from the forward sweep. Two methods, opposite bias, same order of magnitude. D2, D3, D7 read 0 V, confirming the round 1 shorts. Labelling confirmed by operator after a duplicate D3 in the readout."
3,D4,R,13,14,4.989,>1.0e7,healthy,"board 3/4. D1 is the validation channel: 0.085 V implies a ~1.7 kohm shunt, against ~2.9 kohm from the forward sweep. Two methods, opposite bias, same order of magnitude. D2, D3, D7 read 0 V, confirming the round 1 shorts. Labelling confirmed by operator after a duplicate D3 in the readout."
4,D5,R,17,18,4.989,>1.0e7,healthy,"board 3/4. D1 is the validation channel: 0.085 V implies a ~1.7 kohm shunt, against ~2.9 kohm from the forward sweep. Two methods, opposite bias, same order of magnitude. D2, D3, D7 read 0 V, confirming the round 1 shorts. Labelling confirmed by operator after a duplicate D3 in the readout."
4,D6,R,21,22,4.989,>1.0e7,healthy,"board 3/4. D1 is the validation channel: 0.085 V implies a ~1.7 kohm shunt, against ~2.9 kohm from the forward sweep. Two methods, opposite bias, same order of magnitude. D2, D3, D7 read 0 V, confirming the round 1 shorts. Labelling confirmed by operator after a duplicate D3 in the readout."
4,D7,R,25,26,0.0,<1e2,short,"board 3/4. D1 is the validation channel: 0.085 V implies a ~1.7 kohm shunt, against ~2.9 kohm from the forward sweep. Two methods, opposite bias, same order of magnitude. D2, D3, D7 read 0 V, confirming the round 1 shorts. Labelling confirmed by operator after a duplicate D3 in the readout."
4,D8,R,29,30,4.989,>1.0e7,healthy,"board 3/4. D1 is the validation channel: 0.085 V implies a ~1.7 kohm shunt, against ~2.9 kohm from the forward sweep. Two methods, opposite bias, same order of magnitude. D2, D3, D7 read 0 V, confirming the round 1 shorts. Labelling confirmed by operator after a duplicate D3 in the readout."
5,D1,R,1,2,4.9885,>1.0e7,healthy,"blanket report, not itemised: operator states board 5/6 read the same as boards 1 and 2, 4.988 to 4.989. Open-die limit on all seven."
5,D2,R,5,6,4.9885,>1.0e7,healthy,"blanket report, not itemised: operator states board 5/6 read the same as boards 1 and 2, 4.988 to 4.989. Open-die limit on all seven."
5,D3,R,9,10,4.9885,>1.0e7,healthy,"blanket report, not itemised: operator states board 5/6 read the same as boards 1 and 2, 4.988 to 4.989. Open-die limit on all seven."
5,D4,R,13,14,4.9885,>1.0e7,healthy,"blanket report, not itemised: operator states board 5/6 read the same as boards 1 and 2, 4.988 to 4.989. Open-die limit on all seven."
6,D5,R,17,18,4.9885,>1.0e7,healthy,"blanket report, not itemised: operator states board 5/6 read the same as boards 1 and 2, 4.988 to 4.989. Open-die limit on all seven."
6,D6,R,21,22,4.9885,>1.0e7,healthy,"blanket report, not itemised: operator states board 5/6 read the same as boards 1 and 2, 4.988 to 4.989. Open-die limit on all seven."
6,D7,R,25,26,4.9885,>1.0e7,healthy,"blanket report, not itemised: operator states board 5/6 read the same as boards 1 and 2, 4.988 to 4.989. Open-die limit on all seven."
7,D1,R,1,2,4.9885,>1.0e7,healthy,"blanket report: operator states every board 7/8 red read 4.988 to 4.989 except S8 D8, which read 0 V and confirms the round 1 short. Condition 8's surviving joints are clean."
7,D2,R,5,6,4.9885,>1.0e7,healthy,"blanket report: operator states every board 7/8 red read 4.988 to 4.989 except S8 D8, which read 0 V and confirms the round 1 short. Condition 8's surviving joints are clean."
7,D3,R,9,10,4.9885,>1.0e7,healthy,"blanket report: operator states every board 7/8 red read 4.988 to 4.989 except S8 D8, which read 0 V and confirms the round 1 short. Condition 8's surviving joints are clean."
7,D4,R,13,14,4.9885,>1.0e7,healthy,"blanket report: operator states every board 7/8 red read 4.988 to 4.989 except S8 D8, which read 0 V and confirms the round 1 short. Condition 8's surviving joints are clean."
8,D5,R,17,18,4.9885,>1.0e7,healthy,"blanket report: operator states every board 7/8 red read 4.988 to 4.989 except S8 D8, which read 0 V and confirms the round 1 short. Condition 8's surviving joints are clean."
8,D6,R,21,22,4.9885,>1.0e7,healthy,"blanket report: operator states every board 7/8 red read 4.988 to 4.989 except S8 D8, which read 0 V and confirms the round 1 short. Condition 8's surviving joints are clean."
8,D7,R,25,26,4.9885,>1.0e7,healthy,"blanket report: operator states every board 7/8 red read 4.988 to 4.989 except S8 D8, which read 0 V and confirms the round 1 short. Condition 8's surviving joints are clean."
8,D8,R,29,30,0.0,<1e2,short,"blanket report: operator states every board 7/8 red read 4.988 to 4.989 except S8 D8, which read 0 V and confirms the round 1 short. Condition 8's surviving joints are clean."
